Codigo;Autores;Titulo;Año;Programa
T-M-155;SALAMANCA CARDONA, Renato;Análisis de la rentabilidad del mercado de los créditos de consumo de la ciudad de Cochabamba;2009;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-178;SORIA CALDERA, Ana Lucila;Propuesta de optimización de los procesos para la emisión de información económica financiera de la Prefectura del departamento de Cochabamba;2009;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-212;JUAREZ GARCIA, Jacqueline Ivonne;Gestión integral de riesgos para entidades microfinancieras;2010;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-232;VILLEGAS BLANCO, José Gonzalo;Modelo de gestión estratégica y por procesos de recursos humanos (caso Comteco Ltda.);2011;Magister en Gestión Estratégica de Organizaciones. Mención Recursos Humanos
T-M-173;ROCABADO ALANEZ, Juan Marcelo;Diseño de un plan de marketing político para la empresa de luz y fuerza electrica Cochabamba ELFEC S.A.;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing
T-M-174;ANGULO SARABIA, Jacqueline;Sistema de gestión estrategica basada en el cuadro de mando integral - gerencia de servicio al cliente de Semapa;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing
T-M-175;MERCADO PAREDES, Shirley;Plan de marketing para calzados de seguridad caso: empresa Ciensa Ltda.;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing
T-M-153;LAYME HUARCA, Marina Magdalena;Modelo de planificación estratégica participativa del sistema educativo de la Iglesia;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Recursos Humanos
T-M-145;ANDIA ZAPATA, Amparo;Propuesta de controles internos tributarios para los procesos de determinación y liquidación impositiva y la elaboración de la I.T.C. mediante el sistema contable tango;2009;Magister en Gestión Tributaria
T-M-169;MONTAÑO TERRAZAS, Roberto;Propuestas de proyecto de ley de tasas académicas;2009;Magister en Gestión Tributaria
T-M-170;MURILLO CASANOVAS, Claudia;Efectos de las fluctuaciones y cambios internos de la economía en la estructura tributaria boliviana: una estimación econométrica por sistemas de ecuaciónes simultáneas;2009;Magister en Gestión Tributaria
T-M-171;VILLARROEL CABRERA, José Alex;Análisis de la aplicación de las normas tributarias relacionadas con el impuesto a la propiedad de bienes en el gobierno municipal de Cochabamba;2009;Magister en Gestión Tributaria
T-M-192;AYALA ZELADA, Jorge;Adecuación normativa para la aplicación armónica de nuevas alicuotas tributarias a la información;2010;Magister en Gestión Tributaria
T-M-210;ZUBIETA VEGA, Grety;<La> evasión del comercio electrónico en Cochabamba - Bolivia;2010;Magister en Gestión Tributaria
T-M-225;VEIZAGA OVANDO, Alain;Evaluación de la exención del impuesto a las utilidades de las empresas a las instituciones de educación superior privada;2011;Magister en Gestión Tributaria
T-M-184;PEDRAZAS ROMERO, Adolfo;<El> desarrollo económico rural en el marco de las leyes de participación popular y diálogo nacional 2000, en el municipio de Pasorapa;2009;Magister en Gestión del Desarrollo Rural
T-M-190;ARRATIA JIMENEZ, Orlando David;Significación de la fotografía en el marco de la gestión del conocimiento local. Tics para la gestión del desarrollo rural;2010;Magister en Gestión del Desarrollo Rural
T-M-200;PEDRAZAS ROMERO, Cesar;Gestión comunitaria de recursos naturales, estudio de caso del CONISUR/TIPNIS;2010;Magister en Gestión del Desarrollo Rural
T-M-223;SORUCO SOLIZ, Roberto Elias;Modelos de optimización dinámica para la toma de decisiones en la gestión empresarial;2011;Magister en Gestión empresarial
T-M-222;ALANES SORIA, Carlos Rolando;"Diseño de una herramienta de gestión para la empresa serigráfica ""Seribol""";2010;Magister en Gestión empresarial, mención en gestión financiera
T-M-234;ARGANDOÑA VARGAS, Edwin Marcelo;Administración del capital de trabajo en la empresa confecciones Cochabamba;2011;Magister en Gestión Finanzas Corporativas. Mención: Gestión Financiera
T-M-235;BLANCO ALVAREZ, Mijail Ivan;Diseño de un sistema de control de costos y gestión estratégica en la panificadora Cochabamba;2011;Magister en Gestión Empresarial
T-M-236;CUIZA BARRENECHEA, Félix Antonio;Control de gestión del área productiva en la pequeña y mediana empresa para mejorar la capacidad de competir;2012;Magister en Gestión Empresarial. Mención: Gestión Industrial
T-M-237;DE LA FUENTE D., Juan Sebastian;Informe de simulación de finanzas empresariales. Area: gerencia general empresa: Full Jeans;2011;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-238;DE LA ZERDA ERGUETA, Erika Alfonsina;Informe de taller de simulación de negocios. Area: gerencia de abastecimiento y logística. Empresa: Orange;2012;Magister en Gestión Estratégica de Organizaciones. Mención: Recursos Humanos
T-M-239;FERNANDEZ PEDRAZAS, Tania Y.;Cuadro de mando integral para el control de gestión financieros y no financieros en la caja petrolera de salud;2011;Magister en Gestión Empresarial. Mención Gestión Financiera
T-M-240;FLORES FARFAN, Rocío;Informe del taller de simulación de negocios. Area: gerencia general empresa: Ocean Jeans;2011;Magister en Gestión Empresarial
T-M-241;GONZALES MOLINA, Daniel;Modelo de presupuesto de capital aplicado a plantas de generación de energía eléctrica;2011;Magister en Gestión Empresarial
T-M-242;LOPEZ LEDEZMA, Wilson Franz;Plan de mejora de la gestión estratégica del departamento de almacén de la refinería Gualberto Villarroel;2011;Magister en Gestión Empresarial
T-M-243;MOLINA CRESPO, Heidy Minerva;Estrategias para mejorar la calidad del servicio al ciudadano en la honorable alcaldía municipal de Cochabamba - Comuna Tunari;2011;Magister en Gestión Estratégica de Organizaciones
T-M-244;ORDOÑEZ APALA, Tania;Modelo de valoración patrimonial de empresas caso Curtiembre América;2012;Magister en Finanzas Corporativas. Mención Gestión Financiera
T-M-245;PEREZ ESPINOZA, Riverhy Edwin;Informe de simulación de negocios. Area: gerencia general. Empresa: Jeans OK;2011;Magister en Gestión Estratégica de Organizaciones. Mención Recursos Humanos
T-M-246;PEREZ VILLARROEL, Abner Marco;Perfil del consumidor de telefonía móvil en Cochabamba;2011;Magister en Gestión Estratégica de Organizaciones
T-M-247;PEREZ VILLARROEL, Gerson Abdiel;Informe del taller de simulación de finanzas empresariales. Area: gerencia general. Empresa: Wear Jeans;2012;Magister en Finanzas Corporativas. Mención: Inversión Bursatil
T-M-248;ROCABADO VARGAS, Ylee Margot;Diseño de la gestión del capital humano por competencias para la ONG proyecto de desarrollo área Viloma del municipio Sipe Sipe;2012;Magister en Gestión Estratégica de Organizaciones. Mención Recursos Humanos
T-M-249;VILLARROEL RIVAS, Alexandra;Optimización de los procesos de aprovisionamiento e inventario desde teorías de SCM;2012;Magister en Gestión Empresarial
T-M-250;AYALA FELIX, Fernando Javier;Desarrollo de estrategias de posicionamiento caso: producto quinua;2012;Magister en Gestión Empresarial
T-M-251;ANGULO RODRIGUEZ, Janeth;Políticas y procedimientos para la gestión de bancos comunales;2012;Magister en Gestión Empresarial
T-M-252;CASTRO TORRICO, Liliana;Informe de simulación de negocios área: gerencia de logística y abastecimiento empresa: Ocean Jeans;2012;Magister en Gestión Empresarial
T-M-253;DORADO PONCE DE LEON, Cesar Alejandro;Informe de simulación de negocios área: gerencia general empresa: empresa orange;2011;Magister en Gestión Estratégica de Organizaciones. Mención: Recursos Humanos
T-M-254;MERCADO TABORGA, Jackeline Marcela;Planeación de ventas y operaciones para sincronizar la oferta y la demanda en Cordill S.A.;2012;Magister en Gestión Empresarial
T-M-255;GARCIA AROZQUETA, Oscar;Informe de simulación de negocios área: gerencia de producción, empresa: orange jeans;2012;Magister en Gestión Estratégica de Organizaciones
T-M-256;MARTINEZ CACERES, Henry;Informe de simulación de negocios área: gerencia de ventas, empresa: orange jeans;2012;Magister en Gestión Estratégica de Organizaciones, Mención Marketing
T-M-257;QUIROZ ARDAYA, Edward;Plan de negocios orientado a un mercado diferenciado para la asociación de recolectores de cacao silvestre del consejo indígena yuracaré;2012;Magister en Agronegocios y Comercio Agroalimentario
T-M-258;BURGOA ROMERO, Marisol;Informe del taller simulación de comercio exterior área: gerencia general, empresa: Chic;2012;Magister en Comercio Exterior y Aduanas
T-M-259;TOMSICH VLAHOVIC, Ana Cristina;Informe del taller simulación de negocios área: gerencia de ventas, empresa: Chic;2013;Magister en Comercio Exterior y Aduanas
T-M-260;BUSTOS VALLE, Miguel Jorge;Informe del taller simulación de negocios. Area: gerencia de marketing. Empresa: Chic;2012;Magister en Comercio Exterior y Aduanas
T-M-261;GOMEZ QUISPE, Grover Ivan;Informe del taller simulación de comerico exterior. Area: gerencia de producción. Empresa: Chic;2012;Magister en Comercio Exterior y Aduanas
T-M-262;ZEBALLOS RICO, Fabiola Alejandra;Informe del taller simulación de negocios. Area: gerencia de marketing y ventas. Empresa: Blue jeans;2012;Magister en Gestión Empresarial
T-M-263;GUTIERREZ BRACAMONTE, Danitza;Informe del taller simulación de negocios. Area: gerencia estratégica. Empresa: Ego jeans;2012;Magister en Gestión Empresarial
T-M-264;LA FUENTE CARDONA, Sonia Daniela;Marketing relacional  en la industria farmacéutica de la ciudad de Cochabamba;2012;Magister en Gestión Empresarial
T-M-265;SOLIS VIA, Alejandra Fabiola;Informe de simulación de negocios. Area: gerencia de marketing. Empresa: orange jeans;2013;Magister en Gestión Empresarial
T-M-266;ROMERO ARNEZ, Cesar;Análisis y proyecciones financieras de gastos de operación para la empresa avícola Santa Rita;2001;Magister en Gestión y administración de empresas
T-M-267;MENDIZABAL VEGA, Victor H.;Enseñanza de la contabilidad para su aplicación en negocios globalizados de la actualidad empresarial;2002;Magister en Educación Superior para Ciencias Económicas
T-M-271;LEDEZMA ZEBALLOS, Freddy;Modelo de planeación a corto plazo para una industria de envases metálicos;2013;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-272;FLORES INTURIAS, Gilmar;Diseño de estrategias para promover la competitividad de la cadena productiva del banano en el trópico de Cochabamba, su influencia en los factores socioeconómicos ambientales;2013;Magister en Agronegocios y Comercio Agrolimentario
T-M-273;ALARCON PAREDES, Helen;Diseño de una propuesta de administración financiera del capital de trabajo para la empresa Campo Verde S.R.L.;2012;Magister en Finanzas Corporativas con mención en gestión financiera
T-M-274;LAURA SANDOVAL, Telma;Propuesta de instauración de un tribunal fiscal y de implementación del proceso contencioso - tributario;2013;Magister en Gestión Tributaria. Informe de exploración investigativa e intervención.
T-M-275;GUTIERREZ ROA, Vanuza;Metodología dirigida a la elaboración de auditorías especiales para procesos de contrataciones en el sector público caso gobierno municipal de Pojo;2013;Magister en Auditoría integral. Informe de exploración investigativa e intervención.
T-M-276;TARQUINO MONTECINOS, Aracely;Cuadro de mano integral para la empresa avícola Rivera;2013;Magister en Gestión Empresarail. Informe de exploración investigativa e intervención.
T-M-277;CUENCA MENDOZA, Marcelo Raúl;Diseño del Sistema de Gestión de Calidad Basado en la Norma ISO 9001 para el Posgrado de la Facultad de Ciencias Económicas de la Universidad Mayor de San Simón;2013;Magister en Gestión Empresarial. Informe de tesis.
T-M-278;SEJAS POZO, Johnny;Optimización de la producción y costos en la cadena agroalimentaria del maní orgánico en la organización Aipe Río Caine;2013;Magister en Gestión Empresarial. Mención: Cadenas agroalimentarias. Trabajo de investigación.
T-M-279;RIOJA CARDENAS, Mymé Julieta;Informe del taller de simulación de finanzas empresariales. Area: gerencia general. Empresa: Leopard jeans;2013;Magister en Finanzas Corporativas. Mención: Gestión financiera. Informe de taller de simulación
T-M-280;ARZA SUHEIRO, Dunia;Informe de simulación de negocios. Area: gerencia financiera. Empresa: Like U jeans;2013;Magister en Gestión Estrategica de Organizaciones. Mención: Recursos humanos. Informe de simulación de negocios
T-M-281;LA FUENTE ROJAS, Carola;Informe de simulación de negocios. Area: gerencia marketing y ventas. Empresa: Like U jeans;2013;Magister en Gestión Estrategica de Organizaciones. Mención: Marketing. Informe de simulación de negocios
T-M-282;VILLEGAS CAMACHO, Karen Adriana;Propuesta de reglamento para determinaciones presuntivas a ingresos por servicios profesionales alcanzados por impuestos nacionales al valor agregado y a las transacciones;2013;Magister en Gestión Tributaria. Informe de exploración investigativa e intervención
T-M-290;BARRIENTOS, Ariel;Informe del taller simulación de negocios. Area: gerencia abastecimiento y logística. Empresa: Ta Play;2014;Magister en Gestión Empresarial
T-M-291;SEGOVIA GRAGEDA, Marcela Vania;Propuesta de sistema de gestión de personal y controles administrativos para el Club Social Cochabamba;2015;Magister en Gestión de Recursos Humanos. Informe de proyecto de grado
