Codigo;Autores;Titulo;Año;Programa
T-M-329;COCA CLAURE, Roxana;Sistema de motivación y liderazgo para mejorar el clima laboral y atención al cliente en el área de ventas indirectas de Entel S.A.;2017;Magister en Gestión de Recursos Humanos. Informe de exploración investigativa e intervención
T-M-330;ANTEZANA CONDORI, Elizabeth;"Valoración económica de la empresa ""Boliviana de Aviación - BoA""";2017;Magister en Finanzas Corporativas. Informe de tesis
T-M-331;VILLEGAS COLQUE, Romer;Plan estratégico financiero para captar recursos económicos dirigidos a proyectos de salud y educación en el Gobierno Autónomo Municipal de Quillacollo;2018;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-332;VEGA FERNANDEZ, Diego;Diagnóstico financiero y determinación de la estructura óptima de capital para la empresa comercial Moto sport S.R.L.;2018;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-333;SANCHEZ SOTO, Heber Wilson;Propuesta de un impuesto ambiental a la contaminación de los ingenios mineros en el radio urbano de Potosí;2018;Magister en Gestión Tributaria. Tesis
T-M-334;ZAPATA SOLIZ, Gabriela Lorena;Informe de simulación de negocios. Area: gerencia financiera. Empresa: Pump it jeans S.R.L.;2018;Magister en Gestión Empresarial. Informe de Taller de Simulación
T-M-335;AVILES CADIMA, Amilkar;Proceso de reclutamiento, selección e inducción de personal basado en competencias para el departamento de personal administrativo de Universidad Mayor de San Simón;2018;Magister en Gestión de Recursos Humanos. Informe de Exploración Investigativa e Intervención
T-M-336;ANCE IBARRA, María Susana;Administración de capital de trabajo en micro y pequeñas empresas de confección de prendas de vestir en la ciudad de Cochabamba;2018;Magister en Finanzas Corporativas. Tesis
T-M-337;VARGAS TENORIO, Willy Maximiliano;Cálculo del adeudo tributario en facilidades de pago para obligaciones tributarias ante el Servicio de Impuestos Nacionales de acuerdo a la Ley No. 2492;2018;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-338;FRIAS TERAN, Milenka Karina;Informe de taller de simulación de negocios. Area: Gerencia de Marketing. Empresa: Stilvoll Jeans;2019;Magister en Gestión Estratégica de Organizaciones. Informe de Taller de Simulación
T-M-339;CAMACHO MORALES, Blanca Beatriz;Informe de taller de simulación de negocios. Area: Gerencia administrativa financiera. Empresa: Siner Jeans S.A.;2019;Magister en Gestión Estratégica de Organizaciones. Mención en Marketing. Informe de Taller de Simulación
T-M-340;BALDELOMAR DELGADILLO, Paola;Valoración económica como método de análisis de industrias de aceite FINO S.A.;2019;Magister en Finanzas Corporativas. Tesis
T-M-342;CADIMA VARGAS, Noelia Miriam;Valoración por método de flujos descontados. Empresa Nacional de Electricidad Transmisión S.A.;2019;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-341;AZURDUY RODRIGUEZ, Norah Natividad;Optimización de venta de línea de equipos de gimnasio importados, para la Empresa Tamiva Importaciones y Representaciones de la ciudad de Cochabamba;2019;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-345;BELTRAN BALLESTEROS, Henry Ramiro;Estructuración de un Departamento de Recursos Humanos para COBOCE Cemento;2019;Magister en Gestión Estratégica de Organizaciones. Mención Gestión en Recursos Humanos. Trabajo de Exploración Investigativa
T-M-344;SEJAS CHOQUE, Juan Carlos;Incidencia de la Renta Petrolera en el Desarrollo Económico y Social de Cochabamba. Período 2001 - 2015;2019;Magister en Economía y Desarrollo. Tesis
T-M-343;AVILA ABUD, Derna Andrea;Metodología para la gestión de proyectos de seguros masivos;2019;Magister en Gestión de Proyectos. Investigación
T-M-346;BARRIENTOS BALDERRAMA, Claudia Ninozka;Impacto para la Banca de la aplicación de la Ley de Servicios Financieros con relación a las tasas de interés reguladas para créditos del sector productivo;2019;Magister en Finanzas Corporativas. Investigación
T-M-347;TORRICO ANTELO, Enrique Martín;Planificación estratégica comercial para incrementar la rentabilidad y las utilidades en industrias Torrico Antelo S.R.L.;2019;Magister en Gestión Empresarial. Tesis
T-M-348;ILLANES FAJARDO, Ivette;Plan estratégico de capacitación que contribuya al cumplimiento voluntario de obligaciones tributarias;2019;Magister en Gestión Empresarial de Organizaciones. Mención: Gestión en Marketing. Investigación
T-M-349;ZAMBRANA BUSTAMANTE, Adriana;Informe de taller de simulación de negocios. Area: Gerencia de Marketing. Empresa: Siner Jeans;2019;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing. Informe de Taller de Simulación
T-M-350;PEREZ ROCHA, Morris;Impacto de la Comunicación Integral en la Empresa ASSURESOFT;2019;Maestría en Marketing. Exploración Investigativa e Intervención
T-M-351;CALLA TRUJILLO, Christian Ariel;"Desarrollo de Estrategias de Posicionamiento Caso: Producto Soya ""Empresa SOBRE LA ROCA""";2019;Maestría en Gestión Estratégica de Organizaciones. Informe de Exploración Investigativa
T-M-352;TORRICO LOZADA, Juan Javier;Modelo para la Estimación de Estructura Optima de Capital Incorporando las Imperfecciones Fiscales del Mercado Boliviano;2019;Maestría en Finanzas Corporativas. Tesis
T-M-353;BEJARANO CONDORI, Ramiro Kevin;Informe de Taller de Simulación de Negocios. Area: Gerencia de Producción. Empresa OSCARS JEANS;2019;Maestría en Gestión Empresarial. Informe de Taller de Simulación
T-M-354;CEBALLOS ACUÑA, Rommel Félix;Informe de Taller de Simulación de Negocios. Area: Gerencia de Abastecimiento y Logística . Empresa: Stilvoll Jeans S.A.;2019;Maestría en Gestión Estratégica de Organizaciones. Informe de Taller de Simulación
T-M-355;FERRUFINO GARCIA, Alexander;Propuesta de una Metodología de Gestión de Proyectos al Departamento de Infraestructura de la U.M.S.S.;2019;Maestría en Gestión de Proyectos. Trabajo de Investigación
T-M-357;ARTEGA DORADO, René;Informe de Taller de Simulación de Negocios. Area: Gerencia General. Empresa - POWER JEANS GROUP;2019;Maestría en Gestión Contable. Informe de Taller de Simulación
T-M-358;GARCIA SOTO, Angel;Informe de Taller de Simulación de Negocios. Area: Gerencia de Abastecimiento y Producción. Empresa - MERCURIOS JEANS TM;2019;Maestría en Gestión Contable. Informe de Taller de Simulación
T-M-358;GARCIA SOTO, Angel;Informe de Taller de Simulación de Negocios. Area: Gerencia de Abastecimiento y Producción. Empresa - MERCURIOS JEANS TM;2019;Maestría en Gestión Contable. Informe de Taller de Simulación
T-M-359;BENITO CHOQUE, Cristóbal;Informe de Taller de Simulación de Negocios. Area: Gerencia de Marketing y Ventas. Empresa - POWER JEANS GROUP;2019;Maestría en Gestión Contable. Informe de Taller de Simulación
T-M-360;QUISPE VARGAS, Jose Luis;Informe de Taller de Simulación de Negocios. Area: Gerencia de Abastecimiento y Logística. Empresa - MAGETEX S.R.L.;2020;Maestría en Gestión Empresarial. Informe de Taller de Simulación
T-M-361;BLANCO LOPEZ, Verónica Adriana;Propuesta de un modelo de evaluación de desempeño integral basado en competencias para el área de tráfico empresa Boliviana de Aviación;2020;Maestría en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-362;ESPINOZA GARCIA, Iván;Informe de Taller de Simulación de Negocios. Area: Producción. Empresa - MAGETEX S.R.L.;2020;Maestría en Gestión Empresarial. Informe de Taller de Simulación
T-M-363;COLQUE CANO, Angel Ariel;Planificación estratégica para la empresa importadora Campero en la ciudad de Cochabamba;2020;Magister en Gestión Empresarial. Trabajo de Exploración Investigativa e Intervención
T-M-364;MENDOZA CABRERA, René Miguel;Reingenieria del proceso de banca de microcréditos en Banco Unión S.A.;2020;Magister en Finanzas Coorporativas. Trabajo de Exploración Investigativa e Intervención
T-M-365;FILIGRANA AGREDA, Celso Greusber;Propuesta de plan estratégico para la empresa de televisión;2020;Maestría en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-366;MIRANDA APAZA, Mabel Daniela;Informe de Taller de Simulación de Finanzas Empresariales. Area: Gerencia de Administración y Finanzas - Fresh jeans S.R.L.;2020;Magister en Gestión Finanzas Corporativas. Informe de Taller de Simulación
T-M-367;ARANDIA ARZABE, Franco;"Política de responsabilidad social empresarial; enfocadas a la Gestión de Recursos Humanos";2020;Maestría en Gestión Estratégica de Organizaciones. Mención en Recursos Humanos. Informe de Exploración Investigativa e Intervención
T-M-368;RIVERA MOYA, Mauricio;Informe de Taller de Simulación de Negocios. Area: Geerncia de Estrategias - Siner jeans;2020;Maestría en Gestión Estratégica de Organización. Mención Recursos Humanos. Informe de Taller de Simulación
T-M-369;ZENZANO HIDALGO, Rodrigo;Proyecto de Pre - inversión para la creación de un micromercado innovador en el municipio de Tiquipaya;2020;Maestría en Gestión de Proyectos. Informe de Investigación
T-M-370;ARCIBIA RODRIGUEZ, Cristian Fausto;Trabajo Final de Informe de Taller de Simulación de negocios. Area: Gerencia de Abastecimiento y logística - Jeans Porte S.R.L.;2020;Magister en Comercio Exterior y Aduanas. Informe de Taller de Simulación de Negocios
T-M-371;PEÑALOZA GOITIA, Daniela;Trabajo Final de Informe de Taller de Simulación de negocios. Area: Gerencia de Producción - One Jeans;2020;Magister en Comercio Exterior y Aduanas. Informe de Taller de Simulación de Negocios
T-M-372;QUIROZ MATURANO, Jesús Reynaldo;Informe de Taller de Simulación de negocios. Area: Administrativa Financiera - Empresa Jeans Porte;2020;Magister en Comercio Exterior y Aduanas. Informe de Taller de Simulación de Negocios
T-M-373;VELASQUEZ SEJAS Jorge;Informe de Taller de Simulación de negocios. Area: Gerencia de Marketing y Ventas - Empresa Jeans Porte;2020;Magister en Comercio Exterior y Aduanas. Informe de Taller de Simulación de Negocios
T-M-374;TORRICO LA TAPIA, Gustavo;Propuesta de una Estructura Organizacional en el Departamento de Ingeniería de Subestaciones - ENDE Transmisión con Base al Modelo de Gestión por Procesos;2020;Maestría en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-375;GAMBOA QUINTEROS, Richard Osman;Modelo de planificación Estratégica de la Empresa Santa Fé Servicios para el Desarrollo Empresarial;2020;Maestría en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-376;GUZMAN BARRIONUEVO, Pablo Freddy;Valoración financiera de marca Cooperativa de Ahorro y Crédito San Antonio Ltda.;2021;Maestría en Finanzas Corporativas. Informe de Investigación
T-M-377;PATIÑO CAMACHO, Karen Estefany;Modelo de gestión administrativo financiero para franquicias de comida en Bolivia;2021;Maestría en Gestión Empresarial. Trabajo de Investigación
T-M-378;ESCALERA CASTILLO, Ademar Alexander;Informe Taller de Simulación Finanzas Empresariales. Area: Gerencia de Planificación. Empresa Billy Jeans;2021;Maestría en Finanzas Corporativas. Informe de Taller de Simulación
T-M-379;CASTRO CUBA, Alejandro;Planificación Estratégica Financiera . Caso Colegio de Abogados de Cochabamba;2021;Maestría en Finanzas Corporativas. Mención Gestión Financiera. Tesis
T-M-380;USTARIZ RIOS, Alvaro Hernan;Informe de Taller de Simulación de Negocios. Area: Gerencia General. Empresa: Hotel Altitud;2021;Magister en Estadística Aplicada a la Gestión Empresarial. Informe de Taller de Simulación
T-M-381;CORTEZ VALLEJOS, Walter;Planificación Financiera a largo plazo para SEMAPA;2017;Magister en Gestión Empresarial. Tesis
T-M-382;PIROVANO CABRERA, Giovanni;"Propuesta de modificación del parágrafo II Art. 8 de la Ley Nro. 366, Ley del Libro y la Lectura ""Oscar Alfaro"" que busque la alternativa tributaria más benigna para el rubro de la comercialización de libros de producción nacional";2021;Magister en Gestión Tributaria. Tesis
T-M-383;MARTINEZ HERRERA, Jacqueline;Análisis de propuesta para el procedimiento de determinación del Impuesto al Valor Agregado y su efecto en el Impuesto a las Transacciones provenientes de efectos de evasión de elusión;2021;Maestría en Gestión Tributaria. Tesis
T-M-384;JURADO BARRIOS, Ariel Arístide;Aplicación del modelo VEC para determinar la eficiencia tributaria: Una evidencia empírica para la economía boliviana durante el periodo 2000 - 2018;2021;Maestría en Gestión Tributaria. Tesis
T-M-385;DELGADILLO ARAMAYO, Jorge Mauricio;Sistema para Generación de Información Ejecutiva para Pequeñas Empresas Productoras de Pollo Parrillero;2021;Magister en Finanzas Corporativas. Mención Gestión Financiera. Informe de Exploración Investigativa e Intervención
T-M-386;MALDONADO CESPEDES, Raúl;Diseño de una oficina de Gestión de Proyectos (PMO) como parte de la estructura organizacional de la Dirección de Investigación Científica y Tecnológica (DICyT), para optimizar la gestión de las actividades de investigación de la UMSS;2021;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-387;ARROYO SEQUEIROS, Ana Carolina;Diseño de Herramientas Económicas Financieras para la Empresa Constructora y Consultora Arroyo Martínez (CONSCAM) de la Provincia de Quillacollo;2021;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-388;ORELLANA GONZALES, Jhimmy Sandro;Auditoría Especial para verificar el cumplimiento de la normativa técnica y legal del medio ambiente. Caso: Parque Ecológico de Qollpana de la Empresa Nacional de Electricidad - ENDE CORANI S.A.;2021;Magister en Auditoría Integral. Tesis
T-M-408;CAMPERO GUTIERREZ, Milton;Políticas de desarrollo de comercio exterior para el sector avícola de Bolivia. Caso de la producción, importación y exportación agroindustrial del sector avícola de Cochabamba 2008 - 2018;2022;Magister en Comercio Exterior y Aduanas. Tesis
T-M-409;CASTRO CAMACHO, Jenny Verónica;Impacto de las exportaciones de hidrocarburos en el Producto Interno Bruto (PIB) de Bolivia Periodo 2005 - 2020;2022;Magister en Finanzas Corporativas. Tesis
T-M-410;QUISPE CONDORI, Rodrigo Alvaro;Políticas públicas y seguridad alimentaria desde un enfoque de acceso a bienes alimentarios en municipios de pobreza extrema. El caso de las comunidades de Tapacari y Cocapata;2018;Magister en Investigación en Ciencias Sociales con la mención en Desarrollo Económico. Tesis
T-M-411;PACO ESCOBAR, Ramiro;Factibilidad de Proyectos aplicando opciones Reales en el modelo de evaluación de ENDE;2022;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-412;TORRICO MAMANI, David;Análisis y evaluación de la Cooperativa de Ahorro y Crédito Solucredit San Silvestre R.L. en proceso de conversión a Banco PYME;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-413;VEIZAGA TORREZ, Alejandro Sabath;Desarrollo de un plan estratégico financiero para la empresa Puro Gusto S.R.L.;2021;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-414;TOMAS MAMANI, Samuel;Comparación de Redes Neuronales y Modelos. ARIMA para pronosticar la exportación de soya en Bolivia desde 1992 hasta 2019;2021;Magister en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-415;GUZMAN URQUIDI, Luis Carlos;Estrategias de Marketing de Servicios para Incrementar la Participación de Mercado de Fututo de Bolivia S.A. AFP en la Región de Cochabamba;2021;Magister en Gestión Estratégica de Organizaciones. Mención Marketing. Informe de Exploración Investigativa e Intervención
T-M-416;BUHEZO TAPIA, David;Viabilidad financiera de inversión. Creación de una planta de producción de cuyes en el municipio de Sacaba;2021;Magister en Gestión Empresarial. Exploración Investigativa e Intervención
T-M-417;AVILA ROJAS, Luis Fernando;Estrategias de mejoras para el canal de distribución horizontal en el Grupo Venado S.A.;2021;Magister en Gestión Empresarial. Exploración Investigativa e Intervención
T-M-418;JORDAN PARRADO, Jorge Ramiro;Balanced Scordcars para Editorial Don Bosco unidad de negocio de la Sociedad Salesiana en La Paz Bolivia;2021;Magister en Gestión Empresarial. Exploración Investigativa e Intervención
T-M-419;CRESPO FLORES, René Carlos;Clima laboral y evaluación del desempeño, una aproximación desde la econometría;2021;Magister en Gestión Estratégica de Organizaciones. Mención Recursos Humanos. Tesis
T-M-420;CHOQUE MEJIA, Nataly Miriam;Gestión Estratégica Participativa para la Empresa Constructora Montaño;2021;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-421;VASQUEZ GUILLEN, Juan Gilberto;Desarrollo de un modelo econométrico en la empresa comercializadora de productos veterinarios FARMABOL en la ciudad de Cochabamba;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-422;OJEDA SOLIZ, Abrahan Policarpio;Regla de correspondencia para la relación riesgo y rendimiento de portafolios de inversión eficientes;2022;Magister en Finanzas Corporativas. Tesis
T-M-423;QUINSAMOLLE VARGAS, Lizeth Beatriz;Planificación estratégica para la empresa Lima - Limón para el crecimiento empresarial en épocas de crisis;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-424;MORALES TORREZ, Wildor Erick;<La> Gestión Estratégica en la Formación ON - LINE Especializada: Caso Cochabamba - Bolivia;2022;Magister en Gestión Empresarial. Tesis
T-M-425;UNZUETA GARNICA, Sergio Orlando;Neuropackaging para la medición de influencia en decisiones de compra del consumidor de detergentes en polvo, empleando Eye Tracking;2022;Maestría en Gestión Estratégica de Organizaciones. Mención Marketing. Tesis
T-M-426;RAMOS CABALLERO, Elena;"Planeación estratégica y formulación de cuadro de mando integral para la empresa ""Casa de Funerales Cristo de la Concordia""";2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-427;SALGUERO ROSADO, Bianco;<La> Economía colaborativa de la plataforma de hospedaje AIRBNB en la región metropolitana de Kanata;2022;Maestría en Gestión Estratégica de Organizaciones. Mención Marketing. Tesis
T-M-428;ROJAS SEJAS, Mikaela;Comprensión del uso de tecnología de información de la banca en línea en la ciudad de Cochabamba - Cercado;2022;Maestría en Gestión Empresarial. Tesis
T-M-429;ALDUNATE LIPA, Danitza;Efecto de la Experiencia del Cliente de la Equidad de Marca en la Banca Digital;2021;Maestría en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-430;FIGUEROA BOLIVAR, Pedro Chani;Cálculo de la deuda tributaria con aplicación del principio de retroactividad para obligaciones tributarias ante el Servicio de Impuestos Nacionales;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-431;CONDORI CHOQUE, Silvia;Propuesta del Proceso de Fiscalización para Determinaciones Presuntivas a Personas Naturales por la Venta de Bienes Inmuebles en Propiedad Horizontal;2021;Magister en Gestión Tributaria. Tesis
T-M-432;CUTILE ESCALANTE, Marizol;Política tributaria en la ONG Centro de Desarrollo Comunal y Municipal (CEDESCO) , del departamento de Cochabamba;2021;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-433;ZURITA LOPEZ, Mayra;Diseño de un Scoring Crediticio para la Otrogación de Microcréditos para Banco Pyme de la Comunidad S.A.;2021;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-434;TERCEROS SALVATIERRA, Gabriela;Análisis de resultados de la aplicación de la nueva malla curricular en el Instituto Tecnológico Sacaba;2021;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-435;TERAN SEVILLANO, Oscar Gary;Propuesta de una tecnología crediticia para disminuir la cartera en mora de créditos deñ sector productivo en la Agencia República del Banco Solidario S.A.;2021;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-436;PEREZ BERMEO, Anthony Henry;Desarrollo de estrategias de marketing para la ampliación de cobertura de servicios financieros complementarios para la empresa Transfer Andina S.R.L. en el municipio de Quillacollo - Bolivia;2021;Maestría en Gestión Estratégica de Organizaciones. Mención Marketing. Informe de Exploración Investigativa e Intervención
T-M-437;QUIROZ NOVILLO, Verónica Cecilia;Gestión estratégica comunicacional para A y V. Marketing en Cochabamba, Bolivia;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-438;VEIZAGA MANRIQUE, Luis Enrique;Elaboración de estrategias comerciales en el Automovil Club Boliviano filial Cochabamba;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-439;GUTIERREZ LOPEZ, Jhesenia Nataly;Modelo de gestión administrativo financiero para la producción y comercialización del pan de Arani en Cochabamba;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-211;DE LA FUENTE MENDOZA, Giovanni Ramiro;Sistema de evaluación del desempeño para el personal administrativo de la Universidad Mayor de San Simón;2010;Magister en Gestión Universitaria
T-M-460;Mendoza Ordoñez, Claudia ;Auditoría financiera para evaluar el cumplimiento de la normativa legal al movimiento y registro del activo realizable. Caso: bienes de cambio de la empresa Comercial Chemicals Ltda.;2022;Maestría en Auditoria Integral. Informe de Exploración Investigativa e Intervención
T-M-459;Dominguez, Manuel Richard ;Desarrollo de Estrategias Sostenibles para Pequeños Productores Campesinos;2022;Maestría en Agronegocios y Comercio Agroalimentario. Informe de Exploración Investigativa e Intervención
T-M-458;Cabrera Ponce de León, Eyni ;Proceso de coaching a partir de la identificación de factores motivacionales como estrategia para optimizar el proceso de evaluación de desempeño docente en la Facultad de Ciencias Empresariales de UNIVALLE;2022;Maestría en Gestión de Recursos Humanos. Informe de Exploración Investigativa e Intervención
T-M-461;Mojica Arnéz, Jimena ;Procedimientos de planes de continuidad del negocio bajo la normativa ISO 22301:2019 en Banco Fortaleza S.A.;2022;Maestría en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-462;Atahuichi Ochoa, Efrain;Desarrollo de un modelo educativo para mejorar aspectos socioeconómicos de familias con clases virtuales en nivel inicial (Caso de estudio Unidad Educativa San Antonio de Pucara);2022;Maestría en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-463;Sánchez Quispe, René Martin ;Motivaciones y necesidades de los posgraduantes del Posgrado de la Facultad de Ciencias Económicas UMSS;2022;Maestría en Gestión de Proyectos. Tesis
T-M-466;Anguela Flores, Irma;"Análisis del impacto de la ley n° 1294 de diferimiento de pagos de créditos en los bancos múltiples y la sociedad hotelera. ""Los Tajibos""";2022;Magister en Finanzas Corporativas. Informe de Exploración Investiga  e Intervención
T-M-465;Ledezma Rojas, Ariel;"Creación de un portafolio optimo con activos de renta variable en el sector banca privada, según la cartera eficiente de Harry Markowitz; cotizados en la Bolsa Boliviana de Valores S.A.";2022;Magister en Finanzas Corporativas. Informe de Exploración Investiga  e Intervención
T-M-464;Estrada Choque, Jorge Isaac ;Modelo para la estimación de estructura optima de capital de proyectos de inversión en generación eléctrica renovable financiados mediante créditos subsidiados;2022;Magister en Finanzas Corporativas. Tesis
T-M-467;Mancilla Soria Galvarro, Alejandra Julia;Impacto de los beneficios corporativos considerando las normas tributarias en Bolivia y su incidencia en las finanzas de las ONG'S. Caso: ONG ABC International;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-468;Jaimes Velásquez, Gabriela;"Impacto Económico de las Disposiciones Gubernamentales respecto al diferimiento de pagos de créditos en la Cooperativa de Ahorro y Crédito ""Hospicio"" Ltda.";2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-469;Alvarez Aduviri, Rocio Alejandra;Diseño de modelo de riesgo crediticio para la reducción de la mora en el segmento de microcrédito de Banco PRODEM S.A. agencia Vinto;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-470;Saavedra Vargas, Lucia Griselle;Impacto de las políticas de diferimiento crediticio en la liquidez de los Bancos múltiples en Bolivia;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-471;Paredes Hidalgo, Tatiana Karen;Modelo de gestión crediticia mediante balance scorecard (cuadro de mando integral) para la mejora de productividad del área mype del Banco Unión S.A.;2022;Magister en Finanzas Corporativas. Trabajo de Investigación
T-M-472;Mérida Gamboa, Ronald Wilson;Impacto del diferimiento de créditos en la solvencia de los Bancos múltiples en Bolivia;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-473;Sejas Pareja, Danahí Alejandra;"Sistema de gestión de riesgo operativo para la Cooperativa ""Tukuy""";2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-474;Orellana Gonzales, Jhimmy Sandro;Informe de taller de simulación de finanzas empresariales área: Gerencia General empresa: Hotel Exclusive S.A.;2022;Magister en Finanzas Corporativas. Informe de Taller de Simulación de Finanzas Empresariales
T-M-475;Sánchez Sandoval, David Fernando;Tasa activa óptima de la agencia Cochabamba, para el fondeo dentro de la Cooperativa de Ahorro y Crédito Abierta CACEF R.L.;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-476;Pastrana Molina, Celia Carolina;<Las> determinantes de la tasa de interés activa en la Cooperativa de Ahorro y Crédito Cristo Rey CBBA Ltda.;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-477;Rocha Salazar, Gimena;Implementación de las tasas controladas para productos activos y sus efectos en el sistema financiero (Microcrédito en Bolivia);2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-478;Zuna Huanca, Alex;Valoración económica de la empresa Droguería INTI S.A.;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-479;Ayala Sequeiros, Jose Luis;Valoración económica de la empresa Golden Seeds S.R.L.. Por el método de Flujo de Caja Descontado;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-480;Camacho Castro, Masiel Lia;Valoración financiera para la empresa de Telecomunicaciones TIGO Bolivia;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-481;Liendro Ventura, Lurdes;Manual de control interno tributario para el cumplimiento de la normativa del Impuesto al Valor Agregado para la empresa Para Ti S.A.;2022;Magister en Gestión Tributaria. Tesis
T-M-483;Coa Zerna, Karina;Diseño manual de control interno tributario para la empresa TSK Electronica y Electricdad SA. - sucursal Bolivia;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-482;Tarifa Palacios, Lis Leidy;Estructura fundamentadora de defensa para los contribuyentes aplicable a los procesos tributarios;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-484;Funes Meza, Shirley Betzabé;<La> evasión del impuesto municipal a las transferencias de vehículos automotores en la venta de vehículos usados en el Gobierno Autónomo Municipal de Cochabamba;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-485;Soliz Gandarillas, Vanesa Elizabeth;Modelo de seguimiento al cumplimiento de las obligaciones tributarias de CIDRE IFD para la unidad de auditoría interna;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-486;Tapia Colque, Verónica;Efecto tributario de los servicios digitales pagados en Bolivia;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-487;Alvarez Flores, Nelvi Mariel;Impuesto verde a la producción de botellas plásticas no retornables, Bolivia, gestión 2021;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-488;Siácara Gil, Samantha;Propuesta de un convenio intergubernativo para reducir la evasión fiscal del sector de la construcción en Bolivia;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-489;Martínez Arias, Alejandra Emily ;Devolución del impuesto al Valor Agregado a turistas extranjeros por compra de productos nacionales;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-490;Arispe Terrazas, Dina Elizabeth;Incentivo tributario como medida de atracción de inversión privada para el parque industrial Santiváñez Cochabamba;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-491;Callahuara Medrano, Marianela;Incentivo tributario. Para profesionales liberales y oficios al autoempleo formal en Bolivia, gestión 2021;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-492;Campos Chamani, Lourdes Olivia;Incentivo tributario para reforestación en la ciudad de Cochabamba, gestión 2021;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-494;Miranda Aspiazu Eduardo;Criterios de riesgo de selectividad para lograr asertividad en la distribusión de canales de reducir los tiempos de despacho;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
